t / s;I / A
3481703514.031472;0.001000
3481703514.042472;0.003000
3481703514.063474;0.004000
3481703514.068474;0.005000
3481703514.074474;0.000000
3481703514.085474;0.002000
3481703514.094475;0.003000
3481703514.104476;0.000000
3481703514.118476;0.003000
3481703514.128477;0.001000
3481703514.138478;0.002000
3481703514.144478;0.000000
3481703514.154479;0.000000
3481703514.168479;0.005000
3481703514.178480;0.001000
3481703514.188480;0.003000
3481703514.197481;0.003000
3481703514.207482;0.001000
3481703514.217482;0.000000
3481703514.228483;0.000000
3481703514.234483;0.001000
3481703514.245484;0.003000
3481703514.255485;0.002000
3481703514.265485;0.001000
3481703514.274486;0.004000
3481703514.288486;0.000000
3481703514.298487;0.002000
3481703514.307487;0.003000
3481703514.316488;0.002000
3481703514.327488;0.005000
3481703514.337489;0.001000
3481703514.348490;0.005000
3481703514.358490;0.000000
3481703514.367491;0.004000
3481703514.376492;0.001000
3481703514.385492;0.000000
3481703514.395493;0.005000
3481703514.404493;0.005000
3481703514.418494;0.003000
3481703514.427495;0.002000
3481703514.437495;0.001000
3481703514.446496;0.000000
3481703514.455496;0.002000
3481703514.465497;0.001000
3481703514.474497;0.002000
3481703514.488498;0.004000
3481703514.497499;0.001000
3481703514.508499;0.004000
3481703514.517499;0.001000
3481703514.527500;0.000000
3481703514.537500;0.000000
3481703514.546501;0.000000
3481703514.556502;0.006000
3481703514.565502;0.000000
3481703514.575503;0.000000
3481703514.584503;0.007000
3481703514.598504;0.002000
3481703514.607504;0.001000
3481703514.616505;0.005000
3481703514.625505;0.000000
3481703514.634506;0.003000
3481703514.648507;0.006000
3481703514.657507;0.001000
3481703514.666508;0.002000
3481703514.676508;0.000000
3481703514.685509;0.000000
3481703514.695509;0.001000
3481703514.711511;0.001000
3481703514.719511;0.000000
3481703514.728511;0.001000
3481703514.737512;0.002000
3481703514.746512;0.006000
3481703514.756513;0.002000
3481703514.765513;0.002000
3481703514.774514;0.000000
3481703514.791515;0.002000
3481703514.797515;0.003000
3481703514.807516;0.000000
3481703514.816516;0.002000
3481703514.826517;0.000000
3481703514.836518;0.000000
3481703514.845518;0.001000
3481703514.855519;0.000000
3481703514.865520;0.004000
3481703514.874520;0.001000
3481703514.884521;0.001000
3481703514.894521;0.002000
3481703514.907522;0.000000
3481703514.918522;0.000000
3481703514.928523;0.000000
3481703514.938523;0.001000
3481703514.947524;0.004000
3481703514.956524;0.002000
3481703514.966525;0.001000
3481703514.975525;0.004000
3481703514.985526;0.001000
3481703514.994527;0.000000
3481703515.004527;0.000000
3481703515.018528;0.001000
3481703515.023529;0.001000
3481703515.033529;0.002000
3481703515.046530;0.006000
3481703515.056530;0.002000
3481703515.065531;0.000000
3481703515.074531;0.005000
3481703515.084532;0.002000
3481703515.097533;0.002000
3481703515.106533;0.002000
3481703515.116534;0.001000
3481703515.126534;0.002000
3481703515.135535;0.002000
3481703515.145535;0.000000
3481703515.154536;0.000000
3481703515.163537;0.000000
3481703515.176537;0.004000
3481703515.185538;0.006000
3481703515.194538;0.000000
3481703515.203539;0.004000
3481703515.216539;0.001000
3481703515.226540;0.002000
3481703515.235540;0.000000
3481703515.244541;0.002000
3481703515.254541;0.001000
3481703515.265542;0.000000
3481703515.275543;0.002000
3481703515.284544;0.002000
3481703515.293544;0.006000
3481703515.308545;0.003000
3481703515.317545;0.001000
3481703515.326546;0.000000
3481703515.335546;0.004000
3481703515.344547;0.002000
3481703515.354547;0.004000
3481703515.363548;0.002000
3481703515.380549;0.001000
3481703515.389549;0.002000
3481703515.397550;0.000000
3481703515.405550;0.000000
3481703515.415551;0.004000
3481703515.424551;0.002000
3481703515.434552;0.001000
3481703515.443552;0.005000
3481703515.457553;0.001000
3481703515.467554;0.000000
3481703515.477554;0.001000
3481703515.487555;0.001000
3481703515.497556;0.002000
3481703515.506556;0.002000
3481703515.516557;0.000000
3481703515.527557;0.003000
3481703515.537558;0.002000
3481703515.547558;0.001000
3481703515.556559;0.000000
3481703515.565559;0.000000
3481703515.575560;0.005000
3481703515.585560;0.006000
3481703515.594561;0.002000
3481703515.605562;0.005000
3481703515.615562;0.002000
3481703515.624563;0.000000
3481703515.633564;0.003000
3481703515.647564;0.001000
3481703515.656565;0.003000
3481703515.665565;0.004000
3481703515.675566;0.001000
3481703515.684566;0.005000
3481703515.694567;0.000000
3481703515.703568;0.000000
3481703515.716568;0.000000
3481703515.726569;0.000000
3481703515.735569;0.006000
3481703515.745570;0.001000
3481703515.754570;0.002000
3481703515.763571;0.003000
3481703515.773571;0.002000
3481703515.783572;0.000000
3481703515.793572;0.003000
3481703515.804573;0.002000
3481703515.813574;0.007000
3481703515.827574;0.001000
3481703515.836575;0.001000
3481703515.847576;0.007000
3481703515.857576;0.002000
3481703515.863576;0.000000
3481703515.877577;0.000000
3481703515.887578;0.002000
3481703515.896578;0.006000
3481703515.905579;0.003000
3481703515.915579;0.003000
3481703515.927580;0.003000
3481703515.937581;0.001000
3481703515.947581;0.002000
3481703515.957582;0.002000
3481703515.966582;0.000000
3481703515.976583;0.005000
3481703515.986584;0.002000
3481703515.996584;0.001000
3481703516.005585;0.006000
3481703516.014585;0.001000
3481703516.025586;0.002000
3481703516.035586;0.002000
3481703516.045587;0.004000
3481703516.054587;0.002000
3481703516.063588;0.002000
3481703516.073588;0.004000
3481703516.084589;0.001000
3481703516.095590;0.002000
3481703516.106590;0.000000
3481703516.115591;0.002000
3481703516.125591;0.001000
3481703516.135592;0.002000
3481703516.145593;0.005000
3481703516.154593;0.004000
3481703516.165594;0.001000
3481703516.174594;0.003000
3481703516.183595;0.000000
3481703516.193595;0.002000
3481703516.202596;0.004000
3481703516.212596;0.004000
3481703516.226597;0.002000
3481703516.236598;0.003000
3481703516.245598;0.001000
3481703516.255599;0.004000
3481703516.264599;0.000000
3481703516.273600;0.001000
3481703516.284601;0.002000
3481703516.295601;0.003000
3481703516.306602;0.004000
3481703516.317603;0.006000
3481703516.326603;0.001000
3481703516.335603;0.003000
3481703516.344604;0.002000
3481703516.353604;0.000000
3481703516.362605;0.005000
3481703516.375606;0.004000
3481703516.384606;0.003000
3481703516.394607;0.003000
3481703516.404607;0.000000
3481703516.414608;0.003000
3481703516.423608;0.001000
3481703516.434609;0.002000
3481703516.445610;0.004000
3481703516.456610;0.004000
3481703516.462611;0.002000
3481703516.472611;0.007000
3481703516.483612;0.002000
3481703516.493612;0.001000
3481703516.503613;0.000000
3481703516.513614;0.000000
3481703516.522614;0.005000
3481703516.537615;0.006000
3481703516.546616;0.003000
3481703516.558616;0.003000
3481703516.566617;0.001000
3481703516.574617;0.004000
3481703516.584618;0.001000
3481703516.594618;0.001000
3481703516.603619;0.004000
3481703516.613619;0.003000
3481703516.622620;0.001000
3481703516.636621;0.002000
3481703516.642621;0.000000
3481703516.655622;0.001000
3481703516.664622;0.002000
3481703516.673623;0.002000
3481703516.684623;0.002000
3481703516.694624;0.004000
3481703516.704625;0.000000
3481703516.713625;0.000000
3481703516.723626;0.001000
3481703516.732626;0.003000
3481703516.742627;0.003000
3481703516.752627;0.002000
3481703516.763628;0.004000
3481703516.772628;0.002000
3481703516.783629;0.002000
3481703516.793630;0.006000
3481703516.803630;0.000000
3481703516.814631;0.001000
3481703516.825632;0.001000
3481703516.834632;0.003000
3481703516.843633;0.003000
3481703516.853633;0.003000
3481703516.863634;0.001000
3481703516.873634;0.002000
3481703516.882635;0.001000
3481703516.892635;0.001000
3481703516.905636;0.001000
3481703516.915637;0.000000
3481703516.925637;0.004000
3481703516.935638;0.003000
3481703516.945638;0.003000
3481703516.954639;0.005000
3481703516.963639;0.000000
3481703516.973640;0.001000
3481703516.983641;0.000000
3481703516.993641;0.001000
3481703517.003642;0.000000
3481703517.012642;0.006000
3481703517.022643;0.005000
3481703517.032643;0.005000
3481703517.042644;0.000000
3481703517.056645;0.001000
3481703517.065645;0.000000
3481703517.075646;0.002000
3481703517.085646;0.004000
3481703517.094647;0.003000
3481703517.103647;0.001000
3481703517.112648;0.006000
3481703517.125648;0.001000
3481703517.135649;0.000000
3481703517.149650;0.002000
3481703517.157650;0.001000
3481703517.165651;0.004000
