t / s;I / A
0.009000;0.004080
0.047000;0.004860
0.085000;0.004080
0.124000;0.004080
0.162000;0.002490
0.200000;0.001695
0.238000;0.001695
0.276000;0.001695
0.314000;0.002490
0.352000;0.002490
0.390000;0.000120
0.429000;0.001695
0.467000;0.000120
0.505000;0.001695
0.543000;0.001695
0.581000;0.000120
0.619000;0.000675
0.657000;0.001695
0.695000;0.000675
0.733000;0.000900
0.771000;0.000900
0.809000;0.000675
0.847000;0.000900
0.885000;0.000675
0.923000;0.000675
0.961000;0.000675
0.999000;0.000120
1.037000;0.000120
1.075000;0.000675
1.113000;0.000120
1.151000;0.000675
1.189000;0.000675
1.228000;0.001470
1.266000;0.000675
1.304000;0.000675
1.342000;0.001470
1.380000;0.001470
1.418000;0.001470
1.456000;0.000675
1.494000;0.000675
1.532000;0.000675
1.570000;0.000675
1.608000;0.001470
1.646000;0.001470
1.684000;0.001470
1.722000;0.000675
1.760000;0.001470
1.799000;0.001470
1.837000;0.001470
1.875000;0.000675
1.913000;0.001470
1.951000;0.002265
1.989000;0.001470
2.027000;0.002265
2.065000;0.001470
2.103000;0.002265
2.141000;0.002265
2.179000;0.001470
2.217000;0.002265
2.255000;0.003060
2.293000;0.001470
2.332000;0.000120
2.370000;0.000120
2.407000;0.000675
2.446000;0.000675
2.484000;0.000900
2.522000;0.000675
2.560000;0.000120
2.598000;0.000900
2.636000;0.000675
2.674000;0.000675
2.712000;0.000120
2.750000;0.000675
2.788000;0.000120
2.826000;0.001470
2.864000;0.000675
2.902000;0.001470
2.940000;0.000675
2.978000;0.002265
3.016000;0.000675
3.055000;0.001470
3.093000;0.001470
3.131000;0.002265
3.169000;0.002265
3.207000;0.000675
3.245000;0.002265
3.283000;0.002265
3.321000;0.000675
3.359000;0.001470
3.397000;0.001470
3.435000;0.001470
3.473000;0.001470
3.511000;0.000675
3.549000;0.001470
3.587000;0.000675
3.626000;0.000675
3.664000;0.002265
3.702000;0.002265
3.740000;0.000675
3.778000;0.000675
3.816000;0.002265
3.854000;0.002265
3.892000;0.001470
3.930000;0.002265
3.968000;0.001470
4.006000;0.001470
4.044000;0.002265
4.082000;0.000675
4.120000;0.001470
4.158000;0.003060
4.196000;0.001470
4.235000;0.003060
4.273000;0.001470
4.311000;0.000675
4.349000;0.001470
4.387000;0.000675
4.425000;0.001470
4.463000;0.000675
4.501000;0.001470
4.539000;0.000675
4.577000;0.001470
4.615000;0.000900
4.653000;0.000675
4.691000;0.000675
4.729000;0.000675
4.767000;0.000675
4.805000;0.000675
4.844000;0.001470
4.882000;0.003840
4.920000;0.002265
4.958000;0.003060
4.996000;0.002265
5.034000;0.002265
5.072000;0.002265
5.110000;0.002265
5.148000;0.003060
5.186000;0.002265
5.225000;0.003060
5.263000;0.002265
5.301000;0.003060
5.339000;0.003060
5.377000;0.003840
5.415000;0.003060
5.453000;0.000675
5.491000;0.002265
5.529000;0.003060
5.567000;0.002265
5.605000;0.002265
5.643000;0.002265
5.681000;0.002265
5.719000;0.001470
5.757000;0.000675
5.795000;0.001470
5.834000;0.001470
5.872000;0.002265
5.909000;0.001470
5.948000;0.002265
5.986000;0.002265
6.024000;0.001470
6.062000;0.001470
6.100000;0.002265
6.138000;0.001470
6.176000;0.001470
6.214000;0.002265
6.253000;0.003060
6.291000;0.003060
6.329000;0.003840
6.367000;0.003060
6.405000;0.001470
6.443000;0.002265
6.481000;0.001470
6.520000;0.002265
6.558000;0.002265
6.596000;0.002265
6.634000;0.001470
6.672000;0.001470
6.710000;0.001470
6.748000;0.002265
6.786000;0.001470
6.824000;0.002265
6.863000;0.000675
6.901000;0.002265
6.939000;0.002265
6.977000;0.001470
7.015000;0.001470
7.053000;0.000675
7.091000;0.000900
7.129000;0.001470
7.167000;0.002265
